Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,6441,492,0,153717,3169.46,1.304%,5.48391,46.71,0.62,8722.4
TOTAL,6441,492,0,153717,3169.46,1.304%,5.48391,46.71,0.62,8722.4
